nSeq,I1,I2,O1,O2,A1,A2,A3,A4,A5,A6
15,0,0,0,0,489,536,0,0,0,0
0,0,0,0,0,469,534,0,0,0,0
1,0,0,0,0,439,536,0,0,0,0
2,0,0,0,0,439,530,0,0,0,0
3,0,0,0,0,440,521,0,0,0,0
4,0,0,0,0,431,528,0,0,0,0
5,0,0,0,0,429,527,0,0,0,0
6,0,0,0,0,438,523,0,0,0,0
7,0,0,0,0,442,524,0,0,0,0
8,0,0,0,0,436,524,0,0,0,0
9,0,0,0,0,455,524,0,0,0,0
10,0,0,0,0,471,523,0,0,0,0
11,0,0,0,0,475,525,1,0,0,0
12,0,0,0,0,485,525,0,0,0,0
13,0,0,0,0,508,520,0,0,0,0
14,0,0,0,0,521,519,0,0,0,0
15,0,0,0,0,518,524,0,0,0,0
0,0,0,0,0,535,518,0,0,0,0
1,0,0,0,0,548,513,0,0,0,0
2,0,0,0,0,543,518,0,0,0,0
3,0,0,0,0,540,516,0,0,0,0
4,0,0,0,0,550,512,0,0,0,0
5,0,0,0,0,551,507,0,0,0,0
6,0,0,0,0,532,517,0,0,0,0
7,0,0,0,0,526,514,0,0,0,0
8,0,0,0,0,530,512,0,0,0,0
9,0,0,0,0,526,506,0,0,0,0
10,0,0,0,0,504,512,0,0,0,0
11,0,0,0,0,503,508,0,0,0,0
12,0,0,0,0,506,508,0,0,0,0
13,0,0,0,0,498,490,0,0,0,0
14,0,0,0,0,480,492,0,0,0,0
15,0,0,0,0,476,493,0,0,0,0
0,0,0,0,0,484,476,0,0,0,0
1,0,0,0,0,485,491,0,0,0,0
2,0,0,0,0,469,505,0,0,0,0
3,0,0,0,0,474,514,0,0,0,0
4,0,0,0,0,488,518,0,0,0,0
5,0,0,0,0,494,522,0,0,0,0
6,0,0,0,0,483,529,0,0,0,0
7,0,0,0,0,493,519,0,0,0,0
8,0,0,0,0,498,515,0,0,0,0
9,0,0,0,0,498,513,0,0,0,0
10,0,0,0,0,489,519,0,0,0,0
11,0,0,0,0,495,518,0,0,0,0
12,0,0,0,0,509,473,0,0,0,0
13,0,0,0,0,506,350,0,0,0,0
14,0,0,0,0,515,29,0,0,0,0
15,0,0,0,0,520,63,0,0,0,0
0,0,0,0,0,507,703,1,0,0,0
1,0,0,0,0,514,963,2,0,0,0
2,0,0,0,0,519,783,1,0,0,0
3,0,0,0,0,511,643,1,0,0,0
4,0,0,0,0,504,556,0,0,0,0
5,0,0,0,0,512,509,0,0,0,0
6,0,0,0,0,515,499,0,0,0,0
7,0,0,0,0,501,493,0,0,0,0
8,0,0,0,0,502,492,0,0,0,0
9,0,0,0,0,510,479,0,0,0,0
10,0,0,0,0,509,481,0,0,0,0
11,0,0,0,0,494,482,0,0,0,0
12,0,0,0,0,501,480,0,0,0,0
13,0,0,0,0,510,469,0,0,0,0
14,0,0,0,0,507,470,0,0,0,0
15,0,0,0,0,492,474,0,0,0,0
0,0,0,0,0,499,469,0,0,0,0
1,0,0,0,0,504,463,0,0,0,0
2,0,0,0,0,502,466,0,0,0,0
3,0,0,0,0,500,468,0,0,0,0
4,0,0,0,0,513,472,0,0,0,0
5,0,0,0,0,555,469,0,0,0,0
6,0,0,0,0,603,477,0,0,0,0
7,0,0,0,0,649,486,0,0,0,0
8,0,0,0,0,706,500,0,0,0,0
9,0,0,0,0,775,505,0,0,0,0
10,0,0,0,0,828,515,0,0,0,0
11,0,0,0,0,852,527,0,0,0,0
12,0,0,0,0,879,539,0,0,0,0
13,0,0,0,0,891,541,0,0,0,0
14,0,0,0,0,880,556,0,0,0,0
15,0,0,0,0,847,566,1,0,0,0
0,0,0,0,0,827,565,0,0,0,0
1,0,0,0,0,794,561,0,0,0,0
2,0,0,0,0,743,561,0,0,0,0
3,0,0,0,0,695,565,1,0,0,0
4,0,0,0,0,664,556,0,0,0,0
5,0,0,0,0,631,545,0,0,0,0
6,0,0,0,0,585,551,0,0,0,0
7,0,0,0,0,565,542,1,0,0,0
8,0,0,0,0,557,533,0,0,0,0
9,0,0,0,0,546,529,0,0,0,0
10,0,0,0,0,528,532,0,0,0,0
11,0,0,0,0,532,521,0,0,0,0
12,0,0,0,0,533,526,0,0,0,0
13,0,0,0,0,521,529,0,0,0,0
14,0,0,0,0,531,528,0,0,0,0
15,0,0,0,0,547,521,0,0,0,0
0,0,0,0,0,551,527,0,0,0,0
1,0,0,0,0,559,527,0,0,0,0
2,0,0,0,0,583,521,0,0,0,0
3,0,0,0,0,602,519,0,0,0,0
4,0,0,0,0,604,527,0,0,0,0
5,0,0,0,0,621,520,0,0,0,0
6,0,0,0,0,636,518,0,0,0,0
7,0,0,0,0,641,518,0,0,0,0
8,0,0,0,0,643,514,0,0,0,0
9,0,0,0,0,640,512,0,0,0,0
10,0,0,0,0,621,518,0,0,0,0
11,0,0,0,0,629,513,0,0,0,0
12,0,0,0,0,631,513,0,0,0,0
13,0,0,0,0,616,512,0,0,0,0
14,0,0,0,0,606,513,0,0,0,0
15,0,0,0,0,606,504,0,0,0,0
0,0,0,0,0,599,492,0,0,0,0
1,0,0,0,0,576,490,0,0,0,0
2,0,0,0,0,575,478,0,0,0,0
3,0,0,0,0,572,482,0,0,0,0
4,0,0,0,0,555,505,0,0,0,0
5,0,0,0,0,548,506,0,0,0,0
6,0,0,0,0,548,511,0,0,0,0
7,0,0,0,0,540,528,0,0,0,0
8,0,0,0,0,527,535,0,0,0,0
9,0,0,0,0,534,523,0,0,0,0
10,0,0,0,0,535,520,0,0,0,0
11,0,0,0,0,525,519,0,0,0,0
12,0,0,0,0,517,521,0,0,0,0
13,0,0,0,0,525,514,0,0,0,0
14,0,0,0,0,529,499,0,0,0,0
15,0,0,0,0,520,421,0,0,0,0
0,0,0,0,0,522,169,0,0,0,0
1,0,0,0,0,539,0,0,0,0,0
2,0,0,0,0,548,423,0,0,0,0
3,0,0,0,0,540,992,3,0,0,0
4,0,0,0,0,547,864,2,0,0,0
5,0,0,0,0,559,697,1,0,0,0
6,0,0,0,0,561,577,1,0,0,0
7,0,0,0,0,551,529,0,0,0,0
8,0,0,0,0,563,510,0,0,0,0
9,0,0,0,0,569,497,0,0,0,0
10,0,0,0,0,566,495,0,0,0,0
11,0,0,0,0,563,483,0,0,0,0
12,0,0,0,0,551,484,0,0,0,0
13,0,0,0,0,536,486,0,0,0,0
14,0,0,0,0,546,482,0,0,0,0
15,0,0,0,0,549,473,0,0,0,0
0,0,0,0,0,537,482,0,0,0,0
