nSeq,I1,I2,O1,O2,A1,A2,A3,A4,A5,A6
1,0,0,0,0,522,441,0,0,0,0
2,0,0,0,0,515,462,0,0,0,0
3,0,0,0,0,501,467,0,0,0,0
4,0,0,0,0,483,472,0,0,0,0
5,0,0,0,0,464,468,0,0,0,0
6,0,0,0,0,465,449,0,0,0,0
7,0,0,0,0,457,434,0,0,0,0
8,0,0,0,0,435,459,0,0,0,0
9,0,0,0,0,425,476,0,0,0,0
10,0,0,0,0,432,475,0,0,0,0
11,0,0,0,0,431,478,0,0,0,0
12,0,0,0,0,416,503,0,0,0,0
13,0,0,0,0,418,515,0,0,0,0
14,0,0,0,0,429,505,0,0,0,0
15,0,0,0,0,432,493,0,0,0,0
0,0,0,0,0,439,487,0,0,0,0
1,0,0,0,0,433,487,0,0,0,0
2,0,0,0,0,447,497,0,0,0,0
3,0,0,0,0,464,494,0,0,0,0
4,0,0,0,0,472,441,0,0,0,0
5,0,0,0,0,473,273,0,0,0,0
6,0,0,0,0,488,0,0,0,0,0
7,0,0,0,0,496,180,0,0,0,0
8,0,0,0,0,484,801,2,0,0,0
9,0,0,0,0,489,886,2,0,0,0
10,0,0,0,0,496,715,1,0,0,0
11,0,0,0,0,492,578,0,0,0,0
12,0,0,0,0,476,540,1,0,0,0
13,0,0,0,0,476,518,0,0,0,0
14,0,0,0,0,479,507,0,0,0,0
15,0,0,0,0,470,496,0,0,0,0
0,0,0,0,0,462,501,0,0,0,0
1,0,0,0,0,467,491,0,0,0,0
2,0,0,0,0,468,489,0,0,0,0
3,0,0,0,0,453,493,0,0,0,0
4,0,0,0,0,461,491,0,0,0,0
5,0,0,0,0,465,485,0,0,0,0
6,0,0,0,0,463,479,0,0,0,0
7,0,0,0,0,460,472,0,0,0,0
8,0,0,0,0,456,473,0,0,0,0
9,0,0,0,0,460,476,0,0,0,0
10,0,0,0,0,455,492,0,0,0,0
11,0,0,0,0,491,493,0,0,0,0
12,0,0,0,0,551,488,0,0,0,0
13,0,0,0,0,619,482,0,0,0,0
14,0,0,0,0,686,496,0,0,0,0
15,0,0,0,0,774,500,0,0,0,0
0,0,0,0,0,851,502,0,0,0,0
1,0,0,0,0,899,515,0,0,0,0
2,0,0,0,0,934,531,0,0,0,0
3,0,0,0,0,959,530,0,0,0,0
4,0,0,0,0,956,533,0,0,0,0
5,0,0,0,0,916,549,0,0,0,0
6,0,0,0,0,870,558,0,0,0,0
7,0,0,0,0,825,553,0,0,0,0
8,0,0,0,0,766,551,1,0,0,0
9,0,0,0,0,688,556,0,0,0,0
10,0,0,0,0,625,556,0,0,0,0
11,0,0,0,0,577,540,0,0,0,0
12,0,0,0,0,527,534,1,0,0,0
13,0,0,0,0,479,543,0,0,0,0
14,0,0,0,0,458,532,0,0,0,0
15,0,0,0,0,446,518,0,0,0,0
0,0,0,0,0,424,527,0,0,0,0
1,0,0,0,0,414,534,0,0,0,0
2,0,0,0,0,424,526,0,0,0,0
3,0,0,0,0,430,513,0,0,0,0
4,0,0,0,0,419,517,0,0,0,0
5,0,0,0,0,420,521,0,0,0,0
6,0,0,0,0,434,516,0,0,0,0
7,0,0,0,0,442,510,0,0,0,0
8,0,0,0,0,445,512,0,0,0,0
9,0,0,0,0,438,520,0,0,0,0
10,0,0,0,0,453,519,0,0,0,0
11,0,0,0,0,473,511,0,0,0,0
12,0,0,0,0,481,504,0,0,0,0
13,0,0,0,0,486,501,0,0,0,0
14,0,0,0,0,474,509,0,0,0,0
15,0,0,0,0,471,514,0,0,0,0
0,0,0,0,0,480,504,0,0,0,0
1,0,0,0,0,482,500,0,0,0,0
2,0,0,0,0,469,501,0,0,0,0
3,0,0,0,0,465,507,0,0,0,0
4,0,0,0,0,468,499,0,0,0,0
5,0,0,0,0,463,498,0,0,0,0
6,0,0,0,0,444,507,0,0,0,0
7,0,0,0,0,446,506,0,0,0,0
8,0,0,0,0,446,499,0,0,0,0
9,0,0,0,0,432,502,0,0,0,0
10,0,0,0,0,427,507,0,0,0,0
11,0,0,0,0,434,498,0,0,0,0
12,0,0,0,0,435,488,0,0,0,0
13,0,0,0,0,421,484,0,0,0,0
14,0,0,0,0,420,488,0,0,0,0
15,0,0,0,0,433,472,0,0,0,0
0,0,0,0,0,441,473,0,0,0,0
1,0,0,0,0,430,502,0,0,0,0
2,0,0,0,0,441,500,0,0,0,0
3,0,0,0,0,451,506,0,0,0,0
4,0,0,0,0,450,520,0,0,0,0
5,0,0,0,0,444,527,0,0,0,0
6,0,0,0,0,450,527,0,0,0,0
7,0,0,0,0,463,516,0,0,0,0
8,0,0,0,0,464,513,0,0,0,0
9,0,0,0,0,454,519,0,0,0,0
10,0,0,0,0,461,516,0,0,0,0
11,0,0,0,0,472,486,0,0,0,0
12,0,0,0,0,472,392,0,0,0,0
13,0,0,0,0,459,159,0,0,0,0
14,0,0,0,0,463,15,0,0,0,0
15,0,0,0,0,465,465,0,0,0,0
0,0,0,0,0,459,951,3,0,0,0
1,0,0,0,0,455,822,1,0,0,0
2,0,0,0,0,444,666,1,0,0,0
3,0,0,0,0,430,575,0,0,0,0
4,0,0,0,0,439,536,0,0,0,0
5,0,0,0,0,444,515,0,0,0,0
6,0,0,0,0,434,513,0,0,0,0
7,0,0,0,0,435,511,0,0,0,0
8,0,0,0,0,445,494,0,0,0,0
9,0,0,0,0,447,491,0,0,0,0
10,0,0,0,0,438,500,0,0,0,0
11,0,0,0,0,450,495,0,0,0,0
12,0,0,0,0,456,488,0,0,0,0
13,0,0,0,0,448,491,0,0,0,0
14,0,0,0,0,447,494,0,0,0,0
15,0,0,0,0,459,485,0,0,0,0
0,0,0,0,0,463,479,0,0,0,0
1,0,0,0,0,452,487,0,0,0,0
2,0,0,0,0,468,486,0,0,0,0
3,0,0,0,0,503,479,0,0,0,0
4,0,0,0,0,547,478,0,0,0,0
5,0,0,0,0,595,493,0,0,0,0
6,0,0,0,0,664,506,0,0,0,0
7,0,0,0,0,747,507,0,0,0,0
8,0,0,0,0,816,508,0,0,0,0
9,0,0,0,0,852,527,0,0,0,0
10,0,0,0,0,889,530,0,0,0,0
11,0,0,0,0,903,527,0,0,0,0
12,0,0,0,0,884,533,0,0,0,0
13,0,0,0,0,842,551,0,0,0,0
14,0,0,0,0,804,554,0,0,0,0
15,0,0,0,0,752,553,0,0,0,0
0,0,0,0,0,686,553,0,0,0,0
1,0,0,0,0,612,563,0,0,0,0
2,0,0,0,0,566,553,0,0,0,0
3,0,0,0,0,519,546,0,0,0,0
4,0,0,0,0,473,542,0,0,0,0
5,0,0,0,0,437,538,0,0,0,0
6,0,0,0,0,408,536,0,0,0,0
7,0,0,0,0,376,545,0,0,0,0
8,0,0,0,0,377,536,0,0,0,0
9,0,0,0,0,380,530,0,0,0,0
10,0,0,0,0,368,532,0,0,0,0
11,0,0,0,0,370,536,0,0,0,0
12,0,0,0,0,384,528,0,0,0,0
13,0,0,0,0,394,523,0,0,0,0
14,0,0,0,0,391,529,0,0,0,0
15,0,0,0,0,414,527,0,0,0,0
0,0,0,0,0,435,520,0,0,0,0
1,0,0,0,0,438,530,0,0,0,0
2,0,0,0,0,454,528,0,0,0,0
3,0,0,0,0,478,519,0,0,0,0
4,0,0,0,0,489,512,1,0,0,0
5,0,0,0,0,488,520,0,0,0,0
6,0,0,0,0,500,514,0,0,0,0
7,0,0,0,0,509,509,0,0,0,0
8,0,0,0,0,499,508,0,0,0,0
9,0,0,0,0,496,516,0,0,0,0
10,0,0,0,0,504,504,0,0,0,0
11,0,0,0,0,492,505,0,0,0,0
12,0,0,0,0,492,499,0,0,0,0
13,0,0,0,0,486,492,0,0,0,0
14,0,0,0,0,464,495,0,0,0,0
15,0,0,0,0,455,501,0,0,0,0
0,0,0,0,0,454,491,0,0,0,0
1,0,0,0,0,444,489,0,0,0,0
2,0,0,0,0,425,500,0,0,0,0
3,0,0,0,0,423,501,0,0,0,0
4,0,0,0,0,428,493,0,0,0,0
5,0,0,0,0,429,481,0,0,0,0
6,0,0,0,0,414,483,0,0,0,0
7,0,0,0,0,425,480,0,0,0,0
8,0,0,0,0,433,461,0,0,0,0
9,0,0,0,0,435,481,0,0,0,0
10,0,0,0,0,438,488,0,0,0,0
11,0,0,0,0,438,495,0,0,0,0
12,0,0,0,0,430,515,0,0,0,0
13,0,0,0,0,431,528,0,0,0,0
14,0,0,0,0,450,516,0,0,0,0
15,0,0,0,0,461,509,0,0,0,0
0,0,0,0,0,454,510,0,0,0,0
1,0,0,0,0,458,513,0,0,0,0
2,0,0,0,0,472,501,0,0,0,0
3,0,0,0,0,477,494,0,0,0,0
4,0,0,0,0,463,464,0,0,0,0
5,0,0,0,0,465,349,0,0,0,0
6,0,0,0,0,472,42,0,0,0,0
7,0,0,0,0,470,71,0,0,0,0
8,0,0,0,0,456,674,1,0,0,0
9,0,0,0,0,461,927,2,0,0,0
10,0,0,0,0,462,756,1,0,0,0
11,0,0,0,0,446,627,0,0,0,0
12,0,0,0,0,446,551,0,0,0,0
13,0,0,0,0,451,516,0,0,0,0
14,0,0,0,0,445,503,0,0,0,0
15,0,0,0,0,433,507,0,0,0,0
0,0,0,0,0,440,492,0,0,0,0
1,0,0,0,0,444,485,0,0,0,0
2,0,0,0,0,431,489,0,0,0,0
3,0,0,0,0,438,490,0,0,0,0
4,0,0,0,0,451,478,0,0,0,0
5,0,0,0,0,454,475,0,0,0,0
6,0,0,0,0,444,477,0,0,0,0
7,0,0,0,0,452,470,0,0,0,0
8,0,0,0,0,451,465,0,0,0,0
9,0,0,0,0,441,471,0,0,0,0
10,0,0,0,0,446,474,0,0,0,0
11,0,0,0,0,468,468,0,0,0,0
12,0,0,0,0,495,461,0,0,0,0
13,0,0,0,0,529,479,0,0,0,0
14,0,0,0,0,595,481,0,0,0,0
15,0,0,0,0,671,483,0,0,0,0
0,0,0,0,0,739,493,0,0,0,0
1,0,0,0,0,792,510,0,0,0,0
2,0,0,0,0,841,523,0,0,0,0
3,0,0,0,0,882,521,0,0,0,0
4,0,0,0,0,895,519,0,0,0,0
5,0,0,0,0,874,535,0,0,0,0
6,0,0,0,0,843,545,0,0,0,0
7,0,0,0,0,808,543,0,0,0,0
8,0,0,0,0,757,541,0,0,0,0
9,0,0,0,0,682,554,0,0,0,0
10,0,0,0,0,625,551,0,0,0,0
11,0,0,0,0,574,539,0,0,0,0
12,0,0,0,0,519,533,0,0,0,0
13,0,0,0,0,462,536,0,0,0,0
14,0,0,0,0,423,539,0,0,0,0
15,0,0,0,0,405,525,0,0,0,0
0,0,0,0,0,389,514,0,0,0,0
1,0,0,0,0,362,522,0,0,0,0
2,0,0,0,0,364,519,0,0,0,0
3,0,0,0,0,368,512,0,0,0,0
4,0,0,0,0,363,511,0,0,0,0
5,0,0,0,0,357,524,0,0,0,0
6,0,0,0,0,373,516,0,0,0,0
7,0,0,0,0,388,513,0,0,0,0
8,0,0,0,0,391,519,0,0,0,0
9,0,0,0,0,410,519,0,0,0,0
10,0,0,0,0,433,513,0,0,0,0
11,0,0,0,0,443,513,0,0,0,0
12,0,0,0,0,456,521,0,0,0,0
13,0,0,0,0,481,516,0,0,0,0
14,0,0,0,0,495,509,0,0,0,0
15,0,0,0,0,490,516,0,0,0,0
0,0,0,0,0,504,511,0,0,0,0
1,0,0,0,0,511,507,0,0,0,0
2,0,0,0,0,508,502,0,0,0,0
3,0,0,0,0,504,503,0,0,0,0
4,0,0,0,0,492,502,0,0,0,0
5,0,0,0,0,467,516,0,0,0,0
6,0,0,0,0,465,513,0,0,0,0
7,0,0,0,0,465,505,0,0,0,0
8,0,0,0,0,456,500,0,0,0,0
9,0,0,0,0,436,511,0,0,0,0
10,0,0,0,0,437,504,0,0,0,0
11,0,0,0,0,444,487,0,0,0,0
12,0,0,0,0,440,480,0,0,0,0
13,0,0,0,0,428,478,0,0,0,0
14,0,0,0,0,424,495,0,0,0,0
15,0,0,0,0,427,511,0,0,0,0
0,0,0,0,0,441,505,0,0,0,0
1,0,0,0,0,449,515,0,0,0,0
2,0,0,0,0,440,529,0,0,0,0
3,0,0,0,0,447,527,0,0,0,0
4,0,0,0,0,456,520,0,0,0,0
5,0,0,0,0,453,518,0,0,0,0
6,0,0,0,0,447,523,0,0,0,0
7,0,0,0,0,458,516,0,0,0,0
8,0,0,0,0,464,508,0,0,0,0
9,0,0,0,0,453,497,0,0,0,0
10,0,0,0,0,458,403,0,0,0,0
11,0,0,0,0,470,112,0,0,0,0
12,0,0,0,0,474,25,0,0,0,0
13,0,0,0,0,465,569,0,0,0,0
14,0,0,0,0,464,991,2,0,0,0
15,0,0,0,0,478,794,1,0,0,0
0,0,0,0,0,482,664,1,0,0,0
1,0,0,0,0,467,574,0,0,0,0
2,0,0,0,0,473,527,0,0,0,0
3,0,0,0,0,481,511,0,0,0,0
4,0,0,0,0,480,499,0,0,0,0
5,0,0,0,0,465,503,0,0,0,0
6,0,0,0,0,473,491,0,0,0,0
7,0,0,0,0,477,484,0,0,0,0
8,0,0,0,0,472,483,0,0,0,0
9,0,0,0,0,463,485,0,0,0,0
10,0,0,0,0,452,491,0,0,0,0
11,0,0,0,0,462,482,0,0,0,0
12,0,0,0,0,466,473,0,0,0,0
13,0,0,0,0,453,479,0,0,0,0
14,0,0,0,0,454,481,0,0,0,0
15,0,0,0,0,462,478,0,0,0,0
0,0,0,0,0,466,475,0,0,0,0
1,0,0,0,0,470,489,0,0,0,0
2,0,0,0,0,510,489,0,0,0,0
3,0,0,0,0,572,488,0,0,0,0
4,0,0,0,0,635,493,0,0,0,0
5,0,0,0,0,692,511,0,0,0,0
6,0,0,0,0,754,524,0,0,0,0
7,0,0,0,0,814,524,0,0,0,0
8,0,0,0,0,848,525,0,0,0,0
