nSeq,I1,I2,O1,O2,A1,A2,A3,A4,A5,A6
0,0,0,0,0,485,515,1,0,0,0
1,0,0,0,0,493,551,1,0,0,0
2,0,0,0,0,493,537,0,0,0,0
3,0,0,0,0,502,459,0,0,0,0
4,0,0,0,0,515,541,1,0,0,0
5,0,0,0,0,523,533,0,0,0,0
6,0,0,0,0,519,480,0,0,0,0
7,0,0,0,0,535,580,1,0,0,0
8,0,0,0,0,544,432,1,0,0,0
9,0,0,0,0,532,560,0,0,0,0
10,0,0,0,0,531,543,0,0,0,0
11,0,0,0,0,536,489,0,0,0,0
12,0,0,0,0,527,487,0,0,0,0
13,0,0,0,0,510,515,0,0,0,0
14,0,0,0,0,498,513,0,0,0,0
15,0,0,0,0,497,515,0,0,0,0
0,0,0,0,0,489,365,0,0,0,0
1,0,0,0,0,464,582,0,0,0,0
2,0,0,0,0,461,625,1,0,0,0
3,0,0,0,0,463,548,0,0,0,0
4,0,0,0,0,451,502,0,0,0,0
5,0,0,0,0,450,535,0,0,0,0
6,0,0,0,0,457,524,0,0,0,0
7,0,0,0,0,455,410,0,0,0,0
8,0,0,0,0,456,363,0,0,0,0
9,0,0,0,0,455,135,0,0,0,0
10,0,0,0,0,443,0,0,0,0,0
11,0,0,0,0,446,517,0,0,0,0
12,0,0,0,0,460,975,3,0,0,0
13,0,0,0,0,467,815,2,0,0,0
14,0,0,0,0,469,664,1,0,0,0
15,0,0,0,0,460,609,0,0,0,0
0,0,0,0,0,461,557,1,0,0,0
1,0,0,0,0,478,523,0,0,0,0
2,0,0,0,0,484,507,0,0,0,0
3,0,0,0,0,474,515,0,0,0,0
4,0,0,0,0,478,500,1,0,0,0
5,0,0,0,0,484,494,0,0,0,0
6,0,0,0,0,477,501,0,0,0,0
7,0,0,0,0,467,497,0,0,0,0
8,0,0,0,0,473,499,0,0,0,0
9,0,0,0,0,466,488,0,0,0,0
10,0,0,0,0,473,441,0,0,0,0
11,0,0,0,0,476,413,0,0,0,0
12,0,0,0,0,465,504,0,0,0,0
13,0,0,0,0,468,490,0,0,0,0
14,0,0,0,0,492,527,0,0,0,0
15,0,0,0,0,523,480,0,0,0,0
0,0,0,0,0,563,316,0,0,0,0
1,0,0,0,0,639,519,0,0,0,0
2,0,0,0,0,716,540,0,0,0,0
3,0,0,0,0,775,505,0,0,0,0
4,0,0,0,0,837,518,1,0,0,0
5,0,0,0,0,888,489,0,0,0,0
6,0,0,0,0,907,535,0,0,0,0
7,0,0,0,0,897,327,0,0,0,0
8,0,0,0,0,876,632,1,0,0,0
9,0,0,0,0,855,637,1,0,0,0
10,0,0,0,0,816,523,0,0,0,0
11,0,0,0,0,754,607,0,0,0,0
12,0,0,0,0,700,558,1,0,0,0
13,0,0,0,0,656,452,0,0,0,0
14,0,0,0,0,611,510,0,0,0,0
15,0,0,0,0,587,639,1,0,0,0
0,0,0,0,0,566,614,1,0,0,0
1,0,0,0,0,537,569,0,0,0,0
2,0,0,0,0,530,555,0,0,0,0
3,0,0,0,0,533,489,0,0,0,0
4,0,0,0,0,529,563,1,0,0,0
5,0,0,0,0,512,600,1,0,0,0
6,0,0,0,0,512,572,0,0,0,0
7,0,0,0,0,506,548,1,0,0,0
8,0,0,0,0,483,391,0,0,0,0
9,0,0,0,0,474,527,0,0,0,0
10,0,0,0,0,472,614,1,0,0,0
11,0,0,0,0,465,608,1,0,0,0
12,0,0,0,0,451,564,1,0,0,0
13,0,0,0,0,458,542,0,0,0,0
14,0,0,0,0,470,530,0,0,0,0
15,0,0,0,0,470,521,0,0,0,0
0,0,0,0,0,467,534,1,0,0,0
1,0,0,0,0,483,512,0,0,0,0
2,0,0,0,0,494,505,0,0,0,0
3,0,0,0,0,490,495,0,0,0,0
4,0,0,0,0,485,504,1,0,0,0
5,0,0,0,0,499,515,0,0,0,0
6,0,0,0,0,504,512,0,0,0,0
7,0,0,0,0,502,513,0,0,0,0
8,0,0,0,0,487,523,0,0,0,0
9,0,0,0,0,490,511,0,0,0,0
10,0,0,0,0,499,504,0,0,0,0
11,0,0,0,0,487,520,0,0,0,0
12,0,0,0,0,491,513,1,0,0,0
13,0,0,0,0,489,501,0,0,0,0
14,0,0,0,0,471,500,0,0,0,0
15,0,0,0,0,465,499,0,0,0,0
0,0,0,0,0,467,492,1,0,0,0
1,0,0,0,0,460,395,0,0,0,0
2,0,0,0,0,443,184,0,0,0,0
3,0,0,0,0,445,0,0,0,0,0
4,0,0,0,0,442,303,0,0,0,0
5,0,0,0,0,432,898,2,0,0,0
6,0,0,0,0,423,925,2,0,0,0
7,0,0,0,0,402,716,1,0,0,0
8,0,0,0,0,404,574,1,0,0,0
9,0,0,0,0,407,448,0,0,0,0
10,0,0,0,0,419,518,0,0,0,0
11,0,0,0,0,431,568,0,0,0,0
12,0,0,0,0,433,524,0,0,0,0
13,0,0,0,0,432,508,0,0,0,0
14,0,0,0,0,447,407,0,0,0,0
15,0,0,0,0,457,395,0,0,0,0
0,0,0,0,0,452,499,0,0,0,0
1,0,0,0,0,457,592,1,0,0,0
2,0,0,0,0,478,544,0,0,0,0
3,0,0,0,0,489,487,0,0,0,0
4,0,0,0,0,483,423,0,0,0,0
5,0,0,0,0,490,425,0,0,0,0
6,0,0,0,0,508,457,0,0,0,0
7,0,0,0,0,523,399,0,0,0,0
8,0,0,0,0,543,482,0,0,0,0
9,0,0,0,0,599,505,0,0,0,0
10,0,0,0,0,667,480,0,0,0,0
11,0,0,0,0,728,527,0,0,0,0
12,0,0,0,0,786,484,0,0,0,0
13,0,0,0,0,851,519,0,0,0,0
14,0,0,0,0,891,529,0,0,0,0
15,0,0,0,0,893,527,0,0,0,0
0,0,0,0,0,883,551,1,0,0,0
1,0,0,0,0,869,540,0,0,0,0
2,0,0,0,0,835,674,1,0,0,0
3,0,0,0,0,777,615,0,0,0,0
4,0,0,0,0,715,599,1,0,0,0
5,0,0,0,0,673,547,0,0,0,0
6,0,0,0,0,627,551,0,0,0,0
7,0,0,0,0,572,593,0,0,0,0
8,0,0,0,0,537,559,1,0,0,0
9,0,0,0,0,526,611,1,0,0,0
10,0,0,0,0,514,588,0,0,0,0
11,0,0,0,0,502,568,0,0,0,0
12,0,0,0,0,495,554,1,0,0,0
13,0,0,0,0,477,522,0,0,0,0
14,0,0,0,0,468,498,0,0,0,0
15,0,0,0,0,472,532,0,0,0,0
0,0,0,0,0,466,571,1,0,0,0
1,0,0,0,0,442,572,0,0,0,0
2,0,0,0,0,440,532,0,0,0,0
3,0,0,0,0,445,539,0,0,0,0
4,0,0,0,0,444,494,0,0,0,0
5,0,0,0,0,436,516,0,0,0,0
6,0,0,0,0,438,493,0,0,0,0
7,0,0,0,0,455,543,0,0,0,0
8,0,0,0,0,467,557,1,0,0,0
9,0,0,0,0,463,546,0,0,0,0
10,0,0,0,0,481,526,0,0,0,0
11,0,0,0,0,494,487,0,0,0,0
12,0,0,0,0,497,524,1,0,0,0
13,0,0,0,0,487,511,0,0,0,0
14,0,0,0,0,488,552,0,0,0,0
15,0,0,0,0,491,560,0,0,0,0
0,0,0,0,0,486,536,1,0,0,0
1,0,0,0,0,468,479,0,0,0,0
2,0,0,0,0,472,541,0,0,0,0
3,0,0,0,0,468,586,0,0,0,0
4,0,0,0,0,448,514,0,0,0,0
5,0,0,0,0,441,571,0,0,0,0
6,0,0,0,0,444,598,0,0,0,0
7,0,0,0,0,438,508,0,0,0,0
8,0,0,0,0,421,541,1,0,0,0
9,0,0,0,0,430,515,0,0,0,0
10,0,0,0,0,433,522,0,0,0,0
11,0,0,0,0,426,595,0,0,0,0
12,0,0,0,0,419,569,1,0,0,0
13,0,0,0,0,432,500,0,0,0,0
14,0,0,0,0,438,405,0,0,0,0
15,0,0,0,0,440,165,0,0,0,0
0,0,0,0,0,429,0,0,0,0,0
1,0,0,0,0,434,475,0,0,0,0
2,0,0,0,0,447,923,2,0,0,0
3,0,0,0,0,449,777,1,0,0,0
4,0,0,0,0,440,739,1,0,0,0
5,0,0,0,0,449,667,0,0,0,0
6,0,0,0,0,461,574,0,0,0,0
7,0,0,0,0,463,535,0,0,0,0
8,0,0,0,0,454,520,0,0,0,0
9,0,0,0,0,467,492,0,0,0,0
10,0,0,0,0,474,356,0,0,0,0
11,0,0,0,0,466,627,1,0,0,0
12,0,0,0,0,463,555,0,0,0,0
13,0,0,0,0,474,487,0,0,0,0
14,0,0,0,0,477,512,0,0,0,0
15,0,0,0,0,465,415,0,0,0,0
0,0,0,0,0,467,493,0,0,0,0
1,0,0,0,0,471,529,0,0,0,0
2,0,0,0,0,461,459,0,0,0,0
3,0,0,0,0,463,523,0,0,0,0
4,0,0,0,0,492,487,0,0,0,0
5,0,0,0,0,532,471,0,0,0,0
6,0,0,0,0,576,477,0,0,0,0
7,0,0,0,0,652,481,0,0,0,0
8,0,0,0,0,731,484,0,0,0,0
9,0,0,0,0,790,511,0,0,0,0
10,0,0,0,0,845,508,0,0,0,0
11,0,0,0,0,890,539,0,0,0,0
12,0,0,0,0,908,527,0,0,0,0
13,0,0,0,0,887,532,0,0,0,0
14,0,0,0,0,864,528,0,0,0,0
15,0,0,0,0,827,521,0,0,0,0
0,0,0,0,0,771,528,0,0,0,0
1,0,0,0,0,700,547,0,0,0,0
2,0,0,0,0,650,527,0,0,0,0
3,0,0,0,0,604,520,0,0,0,0
4,0,0,0,0,558,537,0,0,0,0
5,0,0,0,0,508,530,0,0,0,0
6,0,0,0,0,486,532,0,0,0,0
7,0,0,0,0,471,528,0,0,0,0
8,0,0,0,0,452,529,0,0,0,0
9,0,0,0,0,441,524,0,0,0,0
10,0,0,0,0,449,523,0,0,0,0
11,0,0,0,0,449,523,0,0,0,0
12,0,0,0,0,431,521,0,0,0,0
13,0,0,0,0,430,512,0,0,0,0
14,0,0,0,0,432,493,0,0,0,0
15,0,0,0,0,427,487,0,0,0,0
0,0,0,0,0,424,494,0,0,0,0
1,0,0,0,0,418,509,0,0,0,0
2,0,0,0,0,417,524,0,0,0,0
3,0,0,0,0,439,505,0,0,0,0
4,0,0,0,0,456,500,0,0,0,0
5,0,0,0,0,458,501,0,0,0,0
6,0,0,0,0,479,502,0,0,0,0
7,0,0,0,0,500,493,0,0,0,0
8,0,0,0,0,511,494,0,0,0,0
9,0,0,0,0,510,505,0,0,0,0
10,0,0,0,0,525,498,0,0,0,0
11,0,0,0,0,540,494,0,0,0,0
12,0,0,0,0,543,488,0,0,0,0
13,0,0,0,0,531,495,0,0,0,0
14,0,0,0,0,535,494,0,0,0,0
15,0,0,0,0,534,481,0,0,0,0
0,0,0,0,0,516,489,0,0,0,0
1,0,0,0,0,511,493,0,0,0,0
2,0,0,0,0,508,485,0,0,0,0
3,0,0,0,0,495,467,0,0,0,0
4,0,0,0,0,470,475,0,0,0,0
5,0,0,0,0,468,476,0,0,0,0
6,0,0,0,0,465,465,0,0,0,0
7,0,0,0,0,454,488,0,0,0,0
8,0,0,0,0,445,489,0,0,0,0
9,0,0,0,0,435,494,0,0,0,0
10,0,0,0,0,410,524,0,0,0,0
11,0,0,0,0,412,520,0,0,0,0
12,0,0,0,0,409,505,0,0,0,0
13,0,0,0,0,396,502,0,0,0,0
14,0,0,0,0,388,507,0,0,0,0
15,0,0,0,0,394,485,0,0,0,0
0,0,0,0,0,396,468,0,0,0,0
1,0,0,0,0,384,476,0,0,0,0
2,0,0,0,0,397,423,0,0,0,0
3,0,0,0,0,408,291,0,0,0,0
4,0,0,0,0,406,0,0,0,0,0
5,0,0,0,0,409,91,0,0,0,0
6,0,0,0,0,424,709,1,0,0,0
7,0,0,0,0,435,929,2,0,0,0
8,0,0,0,0,429,796,2,0,0,0
9,0,0,0,0,444,664,1,0,0,0
10,0,0,0,0,459,576,0,0,0,0
11,0,0,0,0,461,555,0,0,0,0
12,0,0,0,0,461,558,0,0,0,0
13,0,0,0,0,473,560,0,0,0,0
14,0,0,0,0,493,551,0,0,0,0
15,0,0,0,0,502,548,0,0,0,0
0,0,0,0,0,492,566,1,0,0,0
1,0,0,0,0,503,559,0,0,0,0
2,0,0,0,0,508,547,0,0,0,0
3,0,0,0,0,500,545,0,0,0,0
4,0,0,0,0,490,568,1,0,0,0
5,0,0,0,0,496,563,0,0,0,0
6,0,0,0,0,507,553,0,0,0,0
7,0,0,0,0,508,545,0,0,0,0
8,0,0,0,0,507,545,1,0,0,0
9,0,0,0,0,526,546,0,0,0,0
10,0,0,0,0,577,534,0,0,0,0
11,0,0,0,0,639,529,0,0,0,0
12,0,0,0,0,707,525,0,0,0,0
13,0,0,0,0,769,532,0,0,0,0
14,0,0,0,0,845,533,0,0,0,0
15,0,0,0,0,909,519,0,0,0,0
0,0,0,0,0,947,522,0,0,0,0
1,0,0,0,0,957,515,0,0,0,0
2,0,0,0,0,952,531,0,0,0,0
3,0,0,0,0,929,519,0,0,0,0
4,0,0,0,0,899,512,0,0,0,0
5,0,0,0,0,849,509,0,0,0,0
6,0,0,0,0,775,524,0,0,0,0
7,0,0,0,0,712,530,0,0,0,0
8,0,0,0,0,652,524,0,0,0,0
9,0,0,0,0,580,532,0,0,0,0
10,0,0,0,0,523,531,0,0,0,0
11,0,0,0,0,489,520,0,0,0,0
12,0,0,0,0,459,515,0,0,0,0
13,0,0,0,0,420,519,0,0,0,0
14,0,0,0,0,409,526,0,0,0,0
15,0,0,0,0,401,491,0,0,0,0
0,0,0,0,0,387,473,0,0,0,0
1,0,0,0,0,379,465,0,0,0,0
2,0,0,0,0,390,476,0,0,0,0
3,0,0,0,0,399,478,0,0,0,0
4,0,0,0,0,395,486,0,0,0,0
5,0,0,0,0,407,492,0,0,0,0
6,0,0,0,0,431,482,0,0,0,0
7,0,0,0,0,449,469,0,0,0,0
8,0,0,0,0,456,485,0,0,0,0
9,0,0,0,0,486,480,0,0,0,0
10,0,0,0,0,507,478,0,0,0,0
11,0,0,0,0,508,477,0,0,0,0
12,0,0,0,0,513,457,0,0,0,0
13,0,0,0,0,525,458,0,0,0,0
14,0,0,0,0,537,450,0,0,0,0
15,0,0,0,0,536,425,0,0,0,0
0,0,0,0,0,519,457,0,0,0,0
